free way conditions,,,,,,,,,,,%vehicles,,total,,,statistix,,,max,,,CS,3.60948032968099,,,,,,,,,,,,,,,,total d,147854.679305261,,,,
,max,current,,freeway flow,,ramp meter rate,,by pass rate,,,car,0.9,906,,,toll veh,1,,q,67,,,,,,,,,,,,,,,,,,,total u,-591.05944864617,,,,
speed,65,25,,Q,,q1,,q2,,,truck,0.1,94,,,total u,-587.609382815455,,delay,672.096790023004,,,,,,,,,,,,,,,,,,,trucks-d,17585.236108813,,,,
density,120,75,,,,,,q1+q2,0.1,vps,,,1000,,,total delay,147177.208779751,,avg-q,14.232,,,,,,,,,,,,,,,,,,,,,,,,
# lanes,3,,,,,service time (max) (sec),,,10,,,,,,,(trucks),16907.7655833028,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d-nothing,,,,,,,,,
,,,,,,Value of Time($),,,,,ramp-meter,expected departure,,expected delay,,ramp,,Utility ,,,,,,,,,,,,,,,,,,expected,expected,utilities,,Utility ,trucks,,,
veh #,avg-h,rnd,truck tag,car tag,rnd,Car,truck,toll, headway,arrival time,service time,ramp,bypass,ramp,bypass,queue#,car,tolled,untolled,util diff,prob,rand,choice,departure,delay,actual q#,toll trucks,q2 (vps), util (veh),total (delay),delay(cars),delay(trucks),CS (toll),,service time,departure,delay,car,truck, util (veh),delay,,CS (dn),delta(CS)
0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,
1,0.1,0.495817521340687,0,1,0.808825586938335,15.8382558693834,37.9019987337572,19.5,0,0,10,10,0,10,0,0,-0.0439951551927315,-19.5,-0.105283329815992,19.394716670184,3.77556168736207e-09,0.33876423460161,0,10,10,0,0,0,-0.0439951551927315,10,10,0,0,,10,10,10,-0.0439951551927315,-0.105283329815992,-0.0439951551927315,0,,0,0
2,0.1,0.869256722187199,0,1,0.039183568122009,8.14183568122009,1.8871858142628,19.5,0.901609191091319,0.901609191091319,10,20,0.901609191091319,19.0983908089087,0,1,-0.0431933221505163,-19.5,-0.0100117256138387,19.4899882743862,3.43246121457485e-09,0.718510281770356,0,20,19.0983908089087,1,0,0,-0.0431933221505163,19.0983908089087,19.0983908089087,0,0,,10,20,19.0983908089087,-0.0431933221505163,-0.0100117256138387,-0.0431933221505163,0,,0,0
3,0.1,0.718320586080932,0,1,0.933708262966863,17.0870826296686,77.7148748152015,19.5,5.75507670980907,6.65668590090039,10,30,6.65668590090039,23.3433140990996,0,2,-0.110796982461562,-19.5,-0.503922981384293,18.9960770186157,5.62481924136602e-09,0.974096326853048,0,30,23.3433140990996,2,0,0,-0.110796982461562,23.3433140990996,23.3433140990996,0,0,,10,30,23.3433140990996,-0.110796982461562,-0.503922981384293,-0.110796982461562,0,,0,0
4,0.1,0.99927925191944,1,0,0.951329613705517,17.2632961370552,92.6038293551123,19.5,27.7663752190699,34.4230611199703,10,44.4230611199703,34.4230611199703,10,0,0,-0.0479536003807088,-19.5,-0.257232859319757,19.2427671406802,4.39513695355923e-09,0.583919212126737,0,44.4230611199703,10,0,0,0,-0.257232859319757,10,0,10,-0.25723285492462,,10,44.4230611199703,10,-0.0479536003807088,-0.257232859319757,-0.257232859319757,10,,-0.257232859319757,4.39513692107596e-09
5,0.1,0.0133591415841198,0,1,0.374069917923781,11.4906991792378,9.72086838231276,19.5,22.881385700768,57.3044468207383,10,67.3044468207383,57.3044468207383,9.99999999999999,0,0,-0.0319186088312161,-19.5,-0.027002412173091,19.4729975878269,3.49127935228747e-09,0.9595651124483,0,67.3044468207383,9.99999999999999,0,0,0,-0.0319186088312161,9.99999999999999,9.99999999999999,0,0,,10,67.3044468207383,9.99999999999999,-0.0319186088312161,-0.027002412173091,-0.0319186088312161,0,,0,0
6,0.1,0.79328428085671,0,1,0.453139295126401,12.281392951264,12.2545979580433,19.5,6.86169887133052,64.1661456920688,10,77.3044468207383,64.1661456920688,13.1383011286695,0,1,-0.0448212885758959,-19.5,-0.0447234994954309,19.4552765005046,3.5537000662722e-09,0.97129414238785,0,77.3044468207383,13.1383011286695,1,0,0,-0.0448212885758959,13.1383011286695,13.1383011286695,0,0,,10,77.3044468207383,13.1383011286695,-0.0448212885758959,-0.044723499495431,-0.0448212885758959,0,,0,0
7,0.1,0.508258760953755,0,1,0.144307757342918,9.19307757342918,4.18427959733546,19.5,26.5722650088893,90.7384107009581,10,100.738410700958,90.7384107009581,10,0,0,-0.0255363265928588,-19.5,-0.0116229988814874,19.4883770011185,3.43799630562773e-09,0.555024605448202,0,100.738410700958,10,0,0,0,-0.0255363265928588,10,10,0,0,,10,100.738410700958,10,-0.0255363265928588,-0.0116229988814874,-0.0255363265928588,0,,0,0
8,0.1,0.0757020919203193,0,1,0.724345840123093,14.9934584012309,27.6221253105086,19.5,3.91519915150824,94.6536098524664,10,110.738410700958,94.6536098524664,16.0848008484918,0,1,-0.0669907756705403,-19.5,-0.123415662397671,19.3765843376023,3.84464586313291e-09,0.888780477461159,0,110.738410700958,16.0848008484918,1,0,0,-0.0669907756705403,16.0848008484918,16.0848008484918,0,0,,10,110.738410700958,16.0848008484918,-0.0669907756705403,-0.123415662397671,-0.0669907756705403,0,,0,0
