scenario,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
0,99.68,61.38,-403.50509467392,114028.116865132,3201.99087772032,138.485216686099,,-492.198565092364,126182.10664987,12492.6180418952,,=A4*C4,=G4,=N4+M4
0.5,102.52,52.18,-420.398745844722,111481.161663632,4168.81079829912,117.1206320445,,-482.907791569639,121948.635865296,12406.7875601253,,=A5*C5,=G5,=N5+M5
1,100.36,41.92,-450.104559736993,115158.052637827,5395.15165651244,87.8830418471745,,-483.856606632204,123422.428704005,12416.8301310161,,=A6*C6,=G6,=N6+M6
1.5,103.16,33.34,-456.982901479008,114525.60922035,6628.26285011611,72.5190875124203,,-479.272840933991,121186.70719639,12557.513334078,,=A7*C7,=G7,=N7+M7
2,101.84,24.2,-465.281277227046,116925.319680433,7648.31784817831,60.2469291642565,,-485.166247273236,122555.639284949,12501.9775554855,,=A8*C8,=G8,=N8+M8
2.5,102.86,17.38,-452.156463204983,113698.17734469,8475.33459643081,39.5186739260725,,-457.065617425199,117293.705700096,11907.4972225155,,=A9*C9,=G9,=N9+M9
3,98.36,13.28,-482.192502167022,122957.556739144,9158.34812207701,36.8123099631226,,-492.645494182976,126149.608727931,12146.8972617737,,=A10*C10,=G10,=N10+M10
3.5,99.4,11.08,-453.224211880973,113984.563086866,9027.00568536194,32.5360173774233,,-464.285307601518,116756.465354785,11593.7195671292,,=A11*C11,=G11,=N11+M11
4,102.2,7.42,-459.963975556836,117521.342646694,9996.88253823937,24.3162864396344,,-469.00346848497,119553.369332259,11865.2987865802,,=A12*C12,=G12,=N12+M12
4.5,100.72,5.84,-431.107053076793,110165.715858291,9580.28903545121,18.8241507463458,,-439.344789054556,111804.11552651,11157.0823337986,,=A13*C13,=G13,=N13+M13
5,98.6,5.38,-482.15367112472,124759.237276504,10865.9618600825,23.6144838342554,,-497.093063417864,126494.749674325,12494.4101536368,,=A14*C14,=G14,=N14+M14
5.5,101.38,4.62,-478.450482693416,123050.344873544,11267.9872451127,20.7125437800908,,-491.289132568177,124400.784529575,12576.8344632214,,=A15*C15,=G15,=N15+M15
6,100.6,2.92,-420.010193006034,108867.03513977,9954.52666409853,10.3802010668429,,-425.099772039342,109682.925631616,10770.6669452022,,=A16*C16,=G16,=N16+M16
6.5,97.66,2.5,-436.233028078421,113715.992057927,10292.7253335418,12.9143394582069,,-445.964114830423,114461.6325344,11023.3872948661,,=A17*C17,=G17,=N17+M17
7,99.64,2.16,-435.682972367448,112456.032030684,10569.3565490164,11.2360259550059,,-443.650077206294,113135.475941387,11249.907646149,,=A18*C18,=G18,=N18+M18
7.5,97.36,2.24,-444.901399500764,113776.16988189,10704.0111461117,12.5024397046301,,-455.384378488818,114492.773350313,11420.6146145346,,=A19*C19,=G19,=N19+M19
8,100.86,1.74,-447.840001211722,115881.763898848,10929.3661428268,7.20507795481859,,-452.678652565707,116411.234116255,11458.9754914916,,=A20*C20,=G20,=N20+M20
8.5,101.1,1.58,-446.157420098516,114910.010490254,11281.9190987448,6.06821634995901,,-450.780943606918,115400.645669909,11772.5542784003,,=A21*C21,=G21,=N21+M21
9,102.54,1.3,-430.13785491432,110292.569943274,11235.4017701836,7.29521048278318,,-436.163270910717,110684.385556139,11627.217383048,,=A22*C22,=G22,=N22+M22
9.5,99.1,1.06,-423.55073075659,108986.26128598,10472.7874816836,6.36943514965137,,-428.916057432923,109330.590771764,10817.1169674676,,=A23*C23,=G23,=N23+M23
10,102.32,0.86,-428.487933881448,110366.186466171,11034.0863621579,6.57949429089878,,-433.993913045471,110622.581508622,11290.5150112941,,=A24*C24,=G24,=N24+M24
10.5,101.58,1.02,-458.971991946867,117997.884496972,11822.1561725574,8.0981389287635,,-466.248288598929,118349.726390305,12173.9980658909,,=A25*C25,=G25,=N25+M25
11,99.5,0.8,-448.819418524444,115212.465037777,11514.8124333568,5.85360760937072,,-454.025888326567,115486.757694773,11789.1050903529,,=A26*C26,=G26,=N26+M26
11.5,98.06,0.78,-426.966263311584,109180.198181717,10365.1073178804,6.02089626954257,,-432.487762562659,109437.934946158,10622.8440823206,,=A27*C27,=G27,=N27+M27
12,98.68,0.68,-462.429701285963,119023.556310549,11521.0363784898,6.18539075609393,,-468.308698632434,119263.065501505,11760.5455694457,,=A28*C28,=G28,=N28+M28
12.5,100.78,0.72,-453.308725716283,115995.764526859,11409.3857272239,6.95633185956614,,-459.995752975615,116257.039730487,11670.6609308522,,=A29*C29,=G29,=N29+M29
13,99.88,0.52,-450.269424569005,115365.85966018,11749.8832028537,7.04224926160802,,-457.079728804165,115557.776361647,11941.7999043203,,=A30*C30,=G30,=N30+M30
13.5,97.62,0.68,-465.326074556422,118994.625346735,11476.1450137686,4.84917344057204,,-469.792771873447,119229.621873291,11711.1415403254,,=A31*C31,=G31,=N31+M31
14,104.1,0.44,-460.74158542434,117672.086342384,12412.6882069588,3.97415262806695,,-464.536401392553,117843.089610509,12583.6914750842,,=A32*C32,=G32,=N32+M32
14.5,99.12,0.38,-458.716857858453,118630.074385795,11734.17517733,3.54177949402936,,-462.041259615114,118745.312262726,11849.4130542616,,=A33*C33,=G33,=N33+M33
15,99.64,0.28,-418.213091793649,107794.878515378,10671.0943611576,2.38915355793103,,-420.403130790362,107898.923042184,10775.1388879642,,=A34*C34,=G34,=N34+M34
15.5,100.12,0.32,-462.506886205742,117887.263232109,11714.6647681029,3.8535277964867,,-466.178983455612,118014.281056936,11841.682592929,,=A35*C35,=G35,=N35+M35
16,99.6,0.56,-477.938343568958,121858.265866878,11766.7430248505,6.10158795614979,,-483.700124645225,122064.878585441,11973.355743414,,=A36*C36,=G36,=N36+M36
16.5,104.72,0.4,-460.496575133863,117363.959572921,12330.0494642307,3.90311617765276,,-464.221402296247,117502.491458298,12468.5813496076,,=A37*C37,=G37,=N37+M37
17,100.68,0.22,-469.349798481615,120803.565655421,12147.9359883197,3.64420296601199,,-472.908678675217,120886.536010888,12230.9063437868,,=A38*C38,=G38,=N38+M38
17.5,101.38,0.22,-439.05146171176,112741.634532507,11347.6780839856,3.11469848968671,,-442.102296546271,112822.833885435,11428.8774369138,,=A39*C39,=G39,=N39+M39
18,101.08,0.26,-473.732451579062,120779.346158882,12365.7581984664,2.25361706586208,,-475.921477610032,120874.428579098,12460.8406186817,,=A40*C40,=G40,=N40+M40
18.5,103.26,0.26,-489.967673422522,123922.427742261,12993.7220407598,1.88151523139395,,-491.742146979371,124017.003313764,13088.2976122625,,=A41*C41,=G41,=N41+M41
19,99.72,0.38,-484.075908245487,123394.021823543,11857.1322876047,2.63437703125609,,-486.626655086152,123546.745202389,12009.8556664502,,=A42*C42,=G42,=N42+M42
19.5,100.4,0.26,-468.884621555696,119907.492466088,12088.9190706061,1.15946082513154,,-469.89894526452,120005.043394552,12186.4699990702,,=A43*C43,=G43,=N43+M43
,,,,,,,,,,,,,,
,,,,,,,,=AVERAGE(I4:I43),,,,,,
